District,Neighborhood,Population,Latitude,Longitude,Mean Income,Top 10%'s Income,Population Income,The Richest's Total Income,Competition
Paris 1er Arrondissement,Saint-Germain l'Auxerrois,1401,48.86156159999999,2.3337187000000004,2994.0,8682.6,4194594.0,1216432.26,1.0
Paris 1er Arrondissement,Les Halles,8869,48.8623348,2.3447356,2994.0,8682.6,26553786.0,7700597.940000001,2.0
Paris 1er Arrondissement,Palais Royal,3239,48.865221000000005,2.3353642999999997,2994.0,8682.6,9697566.0,2812294.1400000006,0.0
Paris 1er Arrondissement,Place Vendome,2742,48.8674469,2.3294342,2994.0,8682.6,8209548.0,2380768.92,0.0
Paris 2e Arrondissement,Gaillon,1456,48.86966229999999,2.3336217999999995,2778.0,7500.6,4044768.0,1092087.36,0.0
Paris 2e Arrondissement,Vivienne,3046,48.870191399999996,2.3385845,2778.0,7500.6,8461788.0,2284682.7600000002,0.0
Paris 2e Arrondissement,Mail,6383,48.8675641,2.3439900000000002,2778.0,7500.6,17731974.0,4787632.98,1.0
Paris 2e Arrondissement,Bonne Nouvelle,9375,48.8674501,2.3496033,2778.0,7500.6,26043750.0,7031812.5,1.0
Paris 3e Arrondissement,Arts et Metiers,9722,48.8666646,2.3572702999999997,2851.0,7982.799999999999,27717422.0,7760878.16,0.0
Paris 3e Arrondissement,Enfants Rouges,8996,48.8645161,2.3634162999999995,2851.0,7982.799999999999,25647596.0,7181326.88,1.0
Paris 3e Arrondissement,Les Archives,8175,48.85921829999999,2.3621286,2851.0,7982.799999999999,23306925.0,6525939.0,0.0
Paris 3e Arrondissement,Sainte-Avoye,7895,48.8629517,2.3541504,2851.0,7982.799999999999,22508645.0,6302420.6,1.0
Paris 4e Arrondissement,Saint-Merri,6074,48.8573399,2.3515767999999997,2803.0,7848.4,17025422.0,4767118.16,0.0
Paris 4e Arrondissement,Saint-Gervais,9668,48.8559523,2.3579826,2803.0,7848.4,27099404.0,7587833.120000001,0.0
Paris 4e Arrondissement,Arsenal,8718,48.8520593,2.3654105,2803.0,7848.4,24436554.0,6842235.120000001,0.0
Paris 4e Arrondissement,Notre Dame,3028,48.85380079999999,2.3427721000000004,2803.0,7848.4,8487484.0,2376495.52,0.0
Paris 5e Arrondissement,Saint-Victor,11673,48.8474198,2.3528452,3011.0,7828.6,35147403.0,9138324.78,2.0
Paris 5e Arrondissement,Jardin des Plantes,17886,48.843962100000006,2.3595996,3011.0,7828.6,53854746.0,14002233.96,4.0
Paris 5e Arrondissement,Val de Grace,19668,48.8412936,2.3389777,3011.0,7828.6,59220348.0,15397290.480000002,1.0
Paris 5e Arrondissement,Sorbonne,9811,48.8495925,2.3448767999999998,3011.0,7828.6,29540921.0,7680639.460000001,1.0
Paris 6e Arrondissement,Monnaie,5478,48.854412200000006,2.3407963,3604.0,11532.800000000001,19742712.0,6317667.840000001,1.0
Paris 6e Arrondissement,Odeon,7939,48.84985959999999,2.3386921000000003,3604.0,11532.800000000001,28612156.0,9155889.92,1.0
Paris 6e Arrondissement,Notre Dame des Champs,22919,48.847742700000005,2.328309,3604.0,11532.800000000001,82600076.0,26432024.320000004,0.0
Paris 6e Arrondissement,Saint-Germain des Pres,4581,48.853798100000006,2.3333285,3604.0,11532.800000000001,16509924.0,5283175.680000001,0.0
Paris 7e Arrondissement,Saint-Thomas d'Aquin,11026,48.855337799999994,2.3261232999999994,3969.0,13494.6,43762194.0,14879145.96,0.0
Paris 7e Arrondissement,Invalides,5514,48.8593608,2.3138127,3969.0,13494.6,21885066.0,7440922.440000001,2.0
Paris 7e Arrondissement,Ecole Militaire,11810,48.85240049999999,2.3036513,3969.0,13494.6,46873890.0,15937122.600000001,0.0
Paris 7e Arrondissement,Gros Caillou,24162,48.8583002,2.3038974999999997,3969.0,13494.6,95898978.0,32605652.52,2.0
Paris 8e Arrondissement,Champs Elysees,2776,48.8662294,2.3077957000000002,3814.0,12204.800000000001,10587664.0,3388052.4800000004,6.0
Paris 8e Arrondissement,Faubourg du Roule,9305,48.8746664,2.3038222000000004,3814.0,12204.800000000001,35489270.0,11356566.400000002,0.0
Paris 8e Arrondissement,Madeleine,5746,48.8700435,2.3245502,3814.0,12204.800000000001,21915244.0,7012878.080000002,0.0
Paris 8e Arrondissement,Europe,18610,48.8766796,2.3189724999999997,3814.0,12204.800000000001,70978540.0,22713132.800000004,2.0
Paris 9e Arrondissement,Saint-Georges,21342,48.88036049999999,2.333799,3048.0,7620.0,65050416.0,16262604.0,1.0
Paris 9e Arrondissement,Chaussee d'Antin,4810,48.8728752,2.3303724,3048.0,7620.0,14660880.0,3665220.0,0.0
Paris 9e Arrondissement,Faubourg Montmartre,11254,48.874036700000005,2.3422107000000003,3048.0,7620.0,34302192.0,8575548.0,0.0
Paris 9e Arrondissement,Rochechouart,22223,48.8801332,2.3450287,3048.0,7620.0,67735704.0,16933926.0,0.0
Paris 10e Arrondissement,Saint-Vincent de Paul,23547,48.878677200000006,2.3518467,2257.0,5416.8,53145579.0,12754938.96,0.0
Paris 10e Arrondissement,Porte Saint-Denis,16254,48.87242029999999,2.352827,2257.0,5416.8,36685278.0,8804466.72,0.0
Paris 10e Arrondissement,Porte Saint-Martin,23071,48.8722485,2.36125,2257.0,5416.8,52071247.0,12497099.280000001,0.0
Paris 10e Arrondissement,Hopital Saint-Louis,29060,48.8771612,2.3672855999999998,2257.0,5416.8,65588420.0,15741220.8,0.0
Paris 11e Arrondissement,Folie Mericourt,31376,48.866991399999996,2.3720624,2375.0,5462.5,74518000.0,17139140.0,2.0
Paris 11e Arrondissement,Saint-Ambroise,32085,48.861849400000004,2.3772575000000002,2375.0,5462.5,76201875.0,17526431.25,1.0
Paris 11e Arrondissement,Roquette,46429,48.8578217,2.3801945,2375.0,5462.5,110268875.0,25361841.25,1.0
Paris 11e Arrondissement,Sainte-Marguerite,37128,48.85273529999999,2.3919611,2375.0,5462.5,88179000.0,20281170.0,0.0
Paris 12e Arrondissement,Bel Air,35763,48.841832600000004,2.4053177000000003,2393.0,5264.6,85580859.0,18827788.98,0.0
Paris 12e Arrondissement,Picpus,64043,48.8395771,2.3958217,2393.0,5264.6,153254899.0,33716077.78,0.0
Paris 12e Arrondissement,Bercy,14307,48.835454999999996,2.3856832000000003,2393.0,5264.6,34236651.0,7532063.220000001,0.0
Paris 12e Arrondissement,Quinze Vingts,26135,48.84866359999999,2.3725810000000003,2393.0,5264.6,62541055.0,13759032.100000001,0.0
Paris 13e Arrondissement,Salpetriere,18424,48.836650799999994,2.3593243999999998,2045.0,4703.5,37677080.0,8665728.4,3.0
Paris 13e Arrondissement,Gare,75133,48.82770429999999,2.371360300000001,2045.0,4703.5,153646985.0,35338806.550000004,2.0
Paris 13e Arrondissement,Maison Blanche,67202,48.8258056,2.3503958,2045.0,4703.5,137428090.0,31608460.700000003,1.0
Paris 13e Arrondissement,Croulebarbe,20793,48.8347839,2.3468998,2045.0,4703.5,42521685.0,9779987.55,1.0
Paris 14e Arrondissement,Montparnasse,18711,48.83933039999999,2.330491,2413.0,5791.2,45149643.0,10835914.32,0.0
Paris 14e Arrondissement,Parc de Montsouris,21256,48.82490689999999,2.3376619,2413.0,5791.2,51290728.0,12309774.72,1.0
Paris 14e Arrondissement,Petit Montrouge,37858,48.828872499999996,2.3281645,2413.0,5791.2,91351354.0,21924324.96,1.0
Paris 14e Arrondissement,Plaisance,59279,48.830580100000006,2.3192651,2413.0,5791.2,143040227.0,34329654.480000004,1.0
Paris 15e Arrondissement,Saint-Lambert,86656,48.8344576,2.3005597,2734.0,6288.2,236917504.0,54491025.919999994,2.0
Paris 15e Arrondissement,Necker,47396,48.842968400000004,2.3125584,2734.0,6288.2,129580664.0,29803552.72,2.0
Paris 15e Arrondissement,Grenelle,48020,48.85076309999999,2.2924954,2734.0,6288.2,131286680.0,30195936.400000002,0.0
Paris 15e Arrondissement,Javel,51253,48.83687519999999,2.278651,2734.0,6288.2,140125702.0,32228911.459999997,0.0
Paris 16e Arrondissement,Auteuil,71581,48.8490552,2.2663002999999997,3559.0,11032.9,254756779.0,78974601.49,3.0
Paris 16e Arrondissement,Muette,46561,48.8582482,2.2747903999999997,3559.0,11032.9,165710599.0,51370285.69,4.0
Paris 16e Arrondissement,Porte Dauphine,26067,48.871703000000004,2.2757204,3559.0,11032.9,92772453.0,28759460.430000003,1.0
Paris 16e Arrondissement,Chaillot,20881,48.86893250000001,2.2915587000000004,3559.0,11032.9,74315479.0,23037798.490000002,5.0
Paris 17e Arrondissement,Ternes,38576,48.8799177,2.2930101,2732.0,7649.599999999999,105389632.0,29509096.959999997,3.0
Paris 17e Arrondissement,Plaine Monceau,41918,48.8843276,2.3026807000000002,2732.0,7649.599999999999,114519976.0,32065593.279999997,7.0
Paris 17e Arrondissement,Batignolles,42302,48.887341,2.3139467000000002,2732.0,7649.599999999999,115569064.0,32359337.92,2.0
Paris 17e Arrondissement,Epinettes,45039,48.89315879999999,2.3236013,2732.0,7649.599999999999,123046548.0,34453033.44,2.0
Paris 18e Arrondissement,Grandes Carrieres,71028,48.890474499999996,2.3318185000000002,1835.0,4587.5,130336380.0,32584095.0,1.0
Paris 18e Arrondissement,Clignancourt,68873,48.888381200000005,2.348059,1835.0,4587.5,126381955.0,31595488.75,0.0
Paris 18e Arrondissement,Goutte d'Or,30309,48.888733200000004,2.3555872000000004,1835.0,4587.5,55617015.0,13904253.75,0.0
Paris 18e Arrondissement,Chapelle,24849,48.893238399999994,2.3634289,1835.0,4587.5,45597915.0,11399478.75,0.0
Paris 19e Arrondissement,Villette,55348,48.8906167,2.3767267000000003,1598.0,3995.0,88446104.0,22111526.0,0.0
Paris 19e Arrondissement,Pont de Flandre,31753,48.8959365,2.3835907000000005,1598.0,3995.0,50741294.0,12685323.5,0.0
Paris 19e Arrondissement,Amerique,57924,48.8820311,2.3930716,1598.0,3995.0,92562552.0,23140638.0,0.0
Paris 19e Arrondissement,Combat,41369,48.87891639999999,2.3783978,1598.0,3995.0,66107662.0,16526915.5,1.0
Paris 20e Arrondissement,Belleville,35605,48.8728179,2.3894610000000003,1764.0,4057.2,62807220.0,14445660.600000001,2.0
Paris 20e Arrondissement,Saint-Fargeau,46320,48.87137999999999,2.4033854,1764.0,4057.2,81708480.0,18792950.400000002,0.0
Paris 20e Arrondissement,Pere Lachaise,46284,48.8649156,2.3984761000000003,1764.0,4057.2,81644976.0,18778344.48,1.0
Paris 20e Arrondissement,Charonne,67395,48.8527163,2.4061036,1764.0,4057.2,118884780.0,27343499.400000002,0.0
